Time	Score	Hips	Spine		Neck		LeftUpperArm	LeftLowerArm	LeftHand				RightUpperArm	RightLowerArm	RightHand				LeftUpperLeg	LeftLowerLeg	LeftFoot		RightUpperLeg	RightLowerLeg	RightFoot		LeftShoulder	RightShoulder	Upper Lip Raiser	Jaw Lowerer	Lip Stretcher L	Lip Stretcher R	Brow Lowerer L	Brow Lowerer R	Lip Corner Depressor L	Lip Corner Depressor R	Eyelid Closed L	Eyelid Closed R	
00:00:00.0857603	56	(0.0, 1.0, 0.0)	(0.0, 1.1, 0.0)		(0.0, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 1.0, 0.0)				(0.2, 1.4, -0.1)	(0.3, 1.1, -0.1)	(0.4, 0.9, 0.1)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.2, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.1, 1.4, -0.1)	0.366372	0.2201826	0.002917852	0.007406197	0.756106	0.756106	0.01103785	0.01397572	0.5421599	0.6515985
00:00:00.0887604	56	(0.0, 1.0, 0.0)	(0.0, 1.1, 0.0)		(0.0, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 1.0, 0.0)				(0.2, 1.4, -0.1)	(0.3, 1.1, -0.1)	(0.4, 0.9, 0.1)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.2, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.1, 1.4, -0.1)	0.366372	0.2201826	0.002917852	0.007406197	0.756106	0.756106	0.01103785	0.01397572	0.5421599	0.6515985
00:00:00.1873280	113	(0.0, 1.0, 0.0)	(0.0, 1.1, 0.0)		(0.0, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 1.0, 0.1)				(0.2, 1.4, -0.1)	(0.3, 1.1, -0.1)	(0.4, 1.0, 0.1)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.2, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.1, 1.4, -0.1)	0.4394108	0.2102012	0.009001943	0	0.852088	0.852088	0	0	0.508577	0.7381523
00:00:00.1883256	113	(0.0, 1.0, 0.0)	(0.0, 1.1, 0.0)		(0.0, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 1.0, 0.1)				(0.2, 1.4, -0.1)	(0.3, 1.1, -0.1)	(0.4, 1.0, 0.1)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.2, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.1, 1.4, -0.1)	0.4394108	0.2102012	0.009001943	0	0.852088	0.852088	0	0	0.508577	0.7381523
00:00:00.1893302	113	(0.0, 1.0, 0.0)	(0.0, 1.1, 0.0)		(0.0, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 1.0, 0.1)				(0.2, 1.4, -0.1)	(0.3, 1.1, -0.1)	(0.4, 1.0, 0.1)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.2, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.1, 1.4, -0.1)	0.4394108	0.2102012	0.009001943	0	0.852088	0.852088	0	0	0.508577	0.7381523
00:00:00.1903294	113	(0.0, 1.0, 0.0)	(0.0, 1.1, 0.0)		(0.0, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 1.0, 0.1)				(0.2, 1.4, -0.1)	(0.3, 1.1, -0.1)	(0.4, 1.0, 0.1)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.2, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.1, 1.4, -0.1)	0.4394108	0.2102012	0.009001943	0	0.852088	0.852088	0	0	0.508577	0.7381523
00:00:00.2808814	177	(0.0, 1.0, 0.0)	(0.0, 1.1, 0.0)		(0.0, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 1.0, 0.1)				(0.2, 1.4, -0.1)	(0.3, 1.1, -0.1)	(0.4, 1.0, 0.1)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.2, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.0, 1.4, -0.1)	0.5091463	0.2380279	0.06319089	0.01216784	0.7803004	0.7803004	0.008328428	0.01398965	0.5598671	0.6800161
00:00:00.2813818	177	(0.0, 1.0, 0.0)	(0.0, 1.1, 0.0)		(0.0, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 1.0, 0.1)				(0.2, 1.4, -0.1)	(0.3, 1.1, -0.1)	(0.4, 1.0, 0.1)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.2, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.0, 1.4, -0.1)	0.5091463	0.2380279	0.06319089	0.01216784	0.7803004	0.7803004	0.008328428	0.01398965	0.5598671	0.6800161
00:00:00.3684604	235	(0.0, 1.0, 0.0)	(0.0, 1.1, 0.0)		(0.0, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 1.0, 0.1)				(0.2, 1.4, -0.1)	(0.3, 1.1, -0.1)	(0.4, 0.9, 0.1)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.2, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.0, 1.4, -0.1)	0.4691449	0.2171892	0.1226402	0.0005050304	0.7218913	0.7218913	0.001055595	0.005895393	0.514937	0.6437097
00:00:00.3689637	235	(0.0, 1.0, 0.0)	(0.0, 1.1, 0.0)		(0.0, 1.5, -0.1)		(-0.2, 1.4, -0.1)	(-0.3, 1.1, -0.1)	(-0.4, 1.0, 0.1)				(0.2, 1.4, -0.1)	(0.3, 1.1, -0.1)	(0.4, 0.9, 0.1)				(-0.1, 0.9, 0.0)	(-0.1, 0.5, 0.0)	(-0.1, 0.1, 0.1)		(0.1, 0.9, 0.0)	(0.1, 0.5, 0.1)	(0.2, 0.1, 0.1)		(-0.1, 1.4, -0.1)	(0.0, 1.4, -0.1)	0.4691449	0.2171892	0.1226402	0.0005050304	0.7218913	0.7218913	0.001055595	0.005895393	0.514937	0.6437097
